,Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,found_zipcode,found_lat,found_lon
125327,A831139,*Pillow,2021-03-22 19:46:00,03/22/2021 07:46:00 PM,1010 Tillery Street in Austin (TX),Stray,Injured,Dog,Intact Female,2 years,Pointer/Beagle,Brown/White,78721,30.264099,-97.70335004219949
125328,A833076,*Nimona,2021-04-23 16:07:00,04/23/2021 04:07:00 PM,10604 Thomas Wood Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan,None,,
125329,A833437,Oreo,2021-04-29 17:01:00,04/29/2021 05:01:00 PM,Travis (TX),Owner Surrender,Normal,Cat,Spayed Female,15 years,Domestic Shorthair,Black/White,None,,
125330,A833438,Peyton,2021-04-29 17:01:00,04/29/2021 05:01:00 PM,Travis (TX),Owner Surrender,Normal,Cat,Spayed Female,15 years,Domestic Shorthair,White/Brown Tabby,None,,
125331,A833408,Pablo,2021-04-29 11:42:00,04/29/2021 11:42:00 AM,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,3 years,Siberian Husky,Black/White,None,,
125332,A699336,*Ranger,2021-04-30 11:28:00,04/30/2021 11:28:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,Chihuahua Shorthair/Jack Russell Terrier,Black,None,,
125333,A833467,,2021-04-30 10:56:00,04/30/2021 10:56:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby,None,,
125334,A833470,,2021-04-30 10:56:00,04/30/2021 10:56:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Tortie,None,,
125335,A833464,,2021-04-30 10:03:00,04/30/2021 10:03:00 AM,1119 Rundberg in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair,Tan/White,None,,
125336,A833465,,2021-04-30 10:08:00,04/30/2021 10:08:00 AM,Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Dachshund,Tan,None,,
125337,A832600,,2021-04-30 12:53:00,04/30/2021 12:53:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 months,Labrador Retriever Mix,Fawn/Black,None,,
125338,A833107,Angel,2021-04-24 08:09:00,04/24/2021 08:09:00 AM,4900 Eastdale Drive in Austin (TX),Stray,Normal,Dog,Intact Female,14 years,Dachshund,Brown,78723,30.287836499999997,-97.6698623444882
125339,A833475,,2021-04-30 12:09:00,04/30/2021 12:09:00 PM,1601 East Slaughter Lane in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby,78747,30.1666739,-97.7818664
